user_id,anime_id,rating
34992,903,9
11536,11697,8
7367,509,8
73436,4835,10
73308,7088,8
60240,10396,9
564,22535,8
31695,33,8
13301,8525,6
42479,3588,7
34546,189,8
40981,1562,5
7345,9893,5
6381,4793,6
9386,4872,10
67671,3731,10
30599,6746,8
24182,10794,9
37418,3791,8
37243,31156,4
66741,3091,7
63233,2899,5
63203,6547,7
28671,7593,9
18270,10162,9
26228,9926,10
58168,6372,7
6989,9023,10
11267,6793,10
33474,20787,8
52524,97,7
1423,13759,7
3496,31637,7
26684,28223,10
60201,64,8
43393,8841,9
30833,16732,8
20761,14967,8
56356,149,7
11283,3467,7
7816,5112,5
29686,249,6
17088,18177,6
59531,264,6
30114,25835,7
7345,1367,8
9635,8630,7
12610,355,8
56777,3588,7
4583,3712,10
68056,779,10
7099,3927,10
28800,8536,7
12709,4087,5
4690,32438,7
44516,13601,9
24815,9926,9
18646,4059,6
6360,87,10
13411,14741,9
35962,21797,8
18964,2993,9
34796,12255,8
43393,1817,9
3127,121,9
13756,29,8
34467,7661,8
42368,1709,8
23599,7058,10
64354,16894,9
61816,28621,8
6381,267,9
47372,8516,9
40905,3784,10
3552,6747,8
19502,6547,7
67689,4938,9
25057,462,7
55113,7627,9
55769,64,8
54215,1239,3
15845,371,6
24208,27,10
34851,8525,7
10398,5060,10
22788,6747,6
16142,1239,6
14883,12117,7
46604,19163,9
22894,9989,9
6969,8241,2
42321,31251,7
41557,1530,5
28298,25867,5
22894,570,7
72568,355,9
43652,28701,9
10256,8525,8
33048,23079,2
35635,4280,8
1157,19195,4
63058,6880,8
29548,6127,7
34383,10447,10
47282,161,9
7340,10122,6
18270,7062,9
19812,5081,9
6036,741,8
26111,9253,10
64636,2112,7
63906,19815,6
5261,528,7
59996,16866,6
31695,6747,8
46060,11061,9
51921,4214,3
9381,23283,10
45213,7724,7
22423,1118,6
15668,3667,8
52795,133,7
34796,31389,8
19714,1084,6
10194,18397,6
40981,4382,7
52477,1710,7
72501,19815,9
60128,6324,6
46527,32542,9
58771,20,10
68394,3712,7
25369,433,6
20900,411,9
3426,14837,8
2137,6880,6
49785,5307,8
12580,31741,10
57187,4975,6
44375,4720,7
41248,10620,8
446,18441,6
38348,31138,6
30167,9756,10
47562,431,10
17796,30276,7
7080,2026,7
40273,1170,8
56313,20555,7
68318,22,9
28575,6746,8
37182,893,7
73063,245,9
56882,1303,9
4559,30276,9
72115,13263,9
38348,10049,8
48993,64,8
61275,121,9
51589,227,8
51339,21881,7
60201,22729,10
12825,139,7
27229,7817,9
57936,5681,8
7345,6581,5
5668,5030,8
52795,20159,5
33980,3731,10
58606,3167,9
64793,16592,10
31695,30544,6
22911,6007,10
37471,27833,8
19221,522,7
7080,14075,7
2152,25157,7
3665,30240,8
58662,585,9
11536,867,7
67269,934,6
25934,1118,9
17172,8525,10
31863,19117,8
57284,2129,7
27756,5341,8
41557,578,9
55707,2025,7
42321,18897,9
4662,5262,5
68684,9120,9
48708,5114,9
226,5081,6
40273,1352,5
39646,227,8
3566,6347,10
32944,21995,8
64636,7088,7
57660,27899,9
30599,1562,3
5017,4596,8
40273,883,9
58143,1536,8
11016,30,10
31560,20689,9
71804,20709,8
47282,14277,10
6058,4196,7
20761,8197,8
34677,900,8
63052,23701,7
34278,4181,10
19003,22535,9
1634,7059,5
43640,17513,8
2894,22147,10
55769,10928,8
51562,7456,8
771,23277,7
60384,5114,10
22788,4565,8
37147,355,9
35962,490,9
49786,3791,7
40273,10934,7
4683,357,7
3547,1575,8
60310,11241,7
6771,11357,6
6771,3026,6
16142,9136,8
36111,15689,10
28298,256,7
7231,205,9
47372,22057,7
34851,569,7
7816,146,7
32155,18679,9
54713,257,7
33909,9041,8
21782,22319,8
17172,10218,9
2820,891,7
27016,10156,10
53423,1526,7
62006,29785,7
22613,4163,9
71947,23233,7
7139,8516,8
69623,5680,8
42765,15583,8
62235,15813,6
30974,22199,9
42405,16011,8
38672,120,8
71968,2001,10
24849,9776,8
30450,4181,7
71968,23283,8
33471,2167,8
16091,554,8
12825,3655,6
63233,25389,6
25798,3322,8
22456,10396,6
54608,1535,8
5874,14227,8
67552,1519,8
7634,1078,9
61816,31483,8
68944,26351,10
44375,23233,5
42306,18441,9
564,14289,7
19546,4835,6
23690,6547,8
585,3702,8
7345,13333,7
49786,740,7
35280,4720,7
44029,2236,10
32567,9656,5
68944,26055,10
67180,1494,7
64664,10030,7
3127,1374,8
25961,13601,8
34710,578,10
66738,570,8
42405,31592,7
72954,22147,8
29548,8894,9
42086,552,7
68085,178,7
34796,1142,8
34467,918,9
49786,9941,10
7340,3646,8
40476,120,6
40273,6033,8
40294,1593,7
56898,4059,10
22880,11981,9
28426,31251,7
7219,6634,10
9635,10080,8
30223,28805,8
28954,13759,10
55769,395,3
39949,139,9
6381,4726,9
69177,4898,8
72713,10779,8
34816,5114,8
2005,30276,9
771,10020,6
9068,27899,8
58277,20,7
27397,20021,5
38745,22319,9
16389,8717,4
3500,7593,2
52550,1690,8
21365,1818,8
987,14345,9
32731,10110,6
52969,10087,8
72724,528,7
58277,192,8
18454,25923,7
47229,199,8
3092,15633,7
2922,1840,10
26459,6594,7
55602,376,7
3092,15979,6
14457,5681,9
57484,601,7
57593,120,9
30777,19363,9
69124,18277,5
29153,121,10
68349,97,10
66652,14719,9
50637,463,7
24208,3086,9
8233,31,9
72527,28977,10
30833,16904,8
63125,10408,8
3092,10800,9
72115,21667,9
53175,407,9
42306,32215,7
44102,9330,6
41565,527,6
53175,532,9
54524,322,10
61150,164,9
35251,18277,8
67671,94,9
32612,1686,9
47921,121,8
226,17827,8
19052,30,7
65146,60,7
41760,29854,8
19003,15605,6
62889,32542,7
25726,384,7
12874,28825,9
40179,917,6
5010,226,9
29686,65,7
15924,28223,7
38660,21863,6
52195,25303,7
15807,13659,10
28631,27899,8
19206,5114,10
70486,4182,8
62235,1889,7
65836,2881,7
65857,568,7
18115,13667,9
52970,24,7
3857,18507,6
13822,121,8
50569,6573,7
17088,19369,7
37493,31043,9
56738,13655,9
4662,6213,7
3127,16241,8
57605,2889,9
25117,528,10
47921,32729,8
51495,323,8
22894,979,5
52706,3702,10
40044,957,7
57660,177,9
771,329,8
23727,22547,8
29036,16694,6
50585,72,7
7345,13851,4
4649,18277,9
1485,19221,7
26111,4155,10
21858,2904,8
63125,1007,8
5120,12189,9
2873,13171,10
17018,10161,8
60310,2248,7
25583,277,8
56560,18001,7
44539,4181,9
67339,2035,10
36916,269,9
40996,2131,10
49466,132,6
72088,90,6
72088,10793,7
65868,4280,8
23333,9181,8
48993,185,8
15845,7674,9
33000,249,9
16426,527,7
446,382,8
16088,2890,8
63655,226,10
52970,4772,5
55798,9989,8
34895,223,10
58429,16,9
4649,19163,8
23977,9252,9
54037,634,9
8016,1117,8
34631,3574,6
63965,28249,7
5120,20689,8
21100,1519,8
71804,1535,10
10194,1565,10
226,24703,8
66952,2685,8
271,10418,7
66952,525,7
3029,11241,9
72630,4181,9
60994,2924,10
72630,16700,9
40257,20689,10
42835,1744,7
2873,20847,10
34397,4654,9
22894,98,7
31588,8675,6
16426,5341,9
3943,2904,10
38189,18897,5
27016,177,10
701,2251,9
45543,16498,9
17232,13659,6
18030,6127,6
57605,4472,7
24751,790,8
57284,205,8
3029,6746,8
67925,150,7
24254,121,7
61621,14713,9
21786,8795,7
53123,579,8
52011,24415,7
25536,2274,7
68349,72,8
55009,14527,7
22613,28999,7
59883,4752,10
20828,22319,9
3127,5081,10
53435,513,9
26228,16,10
62926,20787,6
9352,31821,7
20761,19315,1
6381,19369,8
19437,13367,6
2466,25867,10
25462,45,8
58661,49,9
38772,265,8
3388,2472,8
49785,908,7
45269,6166,7
24208,32409,7
6771,20533,7
70506,9982,5
6381,889,7
34796,8290,6
72115,12187,8
60735,1943,9
55113,4181,10
2912,30911,10
33913,384,10
65836,30922,4
23687,1122,10
50242,901,9
33153,9989,10
40273,8577,1
7219,30,4
67180,371,8
54713,27387,7
3857,10620,8
60979,3588,10
38672,16592,10
55737,23321,7
44488,5,6
60240,2236,10
58964,6324,7
49591,2689,5
70896,14345,8
31731,9989,10
34467,7592,8
51562,1339,8
67671,5081,9
3115,30276,7
4026,8425,9
27561,16381,5
4161,918,7
63745,3901,9
61581,58,9
28298,23311,8
53497,2563,8
43640,9062,8
6969,23289,9
32935,19365,8
68349,2680,8
35549,18507,6
33474,25731,8
19963,11617,7
2165,28979,9
64759,527,6
17172,19489,9
16132,12017,6
72724,740,6
53423,5204,7
43652,4941,6
22149,9736,6
40273,11359,5
41874,25649,8
46955,19647,10
24239,21273,8
24239,12255,7
2005,13601,7
47282,302,10
3846,12503,8
8609,4224,10
34816,31964,9
13190,530,10
47372,7720,8
58992,59,6
55012,20853,7
59190,531,7
3485,16157,7
6969,21635,9
24195,10495,8
35774,166,7
49495,431,8
72035,8516,7
72954,11977,7
47799,2355,7
38270,10087,9
38470,20,9
36645,5114,10
585,3901,8
68593,10216,10
60117,10218,7
49495,1810,6
46301,1606,7
60071,3349,8
58964,4081,10
3029,21843,9
58171,18397,9
35635,15225,7
72456,8074,8
39137,14131,6
4696,7791,10
69930,30544,8
37471,31240,10
64759,1639,2
31928,19951,9
4026,3031,7
12930,8536,7
4838,1636,9
49495,3225,5
48735,7311,9
72630,20045,8
25635,894,9
58898,4282,10
6302,3455,9
29092,20847,5
34653,11161,7
54713,1913,10
15924,2890,6
40996,14511,10
47995,23775,8
6710,2248,8
35635,1364,8
13387,12175,6
65836,8993,6
16657,25161,8
15445,2167,8
31124,18507,6
72558,4214,9
57284,29803,8
737,11111,8
29935,9379,8
56777,2001,8
63044,29027,8
41048,13863,4
54452,12549,6
64664,16355,5
56590,19111,8
2107,1604,9
55595,3087,9
492,18893,8
48499,18179,8
19923,2167,9
20900,2025,10
43640,8769,8
25732,2449,9
38804,14749,6
39580,5530,8
3500,884,7
30541,10721,4
61982,8676,9
17887,16918,8
31153,96,9
48203,10715,8
44116,7337,8
585,24231,7
62332,33372,7
34677,897,7
3846,24231,8
52195,16706,8
3940,2167,10
446,1530,8
13176,11771,7
37806,2167,10
58606,59,8
22894,7769,6
28309,6201,7
14313,22789,9
9854,1575,9
52969,31,8
38348,32935,8
55407,746,7
60201,28735,10
3029,18753,9
54236,2581,8
55234,232,7
40109,4224,9
45010,4262,4
13636,523,5
23340,1816,7
58662,26243,7
18257,52,7
45294,24873,5
27656,1606,9
39884,1535,7
58123,860,9
17534,155,10
52550,2167,9
34796,19221,8
67830,225,7
58399,1818,10
37243,2904,7
44508,23333,5
58637,288,10
65796,984,7
24233,12531,8
13920,2904,8
49786,8111,7
41874,15809,8
17692,11013,7
4742,20583,9
30207,20787,6
48993,14345,7
26440,355,7
26994,22145,8
40996,14227,10
9524,5781,5
61914,22535,8
51965,813,5
35341,392,9
28309,11111,8
40273,3785,10
30953,10165,8
35371,15379,9
29153,4835,6
55892,28171,9
14620,4214,4
67040,149,9
69372,28677,9
68593,8525,10
57330,30,9
462,30300,8
7139,2685,8
3426,1256,7
56738,7367,6
19963,30831,7
40905,6880,10
18982,617,8
58143,2151,5
40482,28121,7
47745,2034,9
10256,9756,10
17752,13601,9
70872,23385,8
69321,20021,5
30541,898,7
58992,18,10
3836,8536,7
49761,2759,9
24182,6747,9
43746,2251,9
2873,1060,10
9276,2994,9
30452,20507,10
41539,10491,5
63630,5958,10
40273,2971,7
63323,6702,5
64636,3655,7
49420,5678,9
7445,389,7
48993,1218,7
29068,2904,9
11352,2236,10
44476,2451,7
13178,18679,8
48993,6746,6
45071,10278,7
27124,268,10
7468,11887,7
44005,30,10
46150,3087,7
54713,9136,7
13822,16498,9
41126,6547,8
46527,28285,8
41575,7817,6
59531,418,7
15586,27821,9
31240,4896,7
17160,1015,9
41048,20,8
53331,9756,10
45543,75,8
1924,2889,7
58429,59,8
55482,2167,8
4431,15315,7
66641,4760,9
38672,23273,7
35251,32935,9
40273,1119,7
63502,12967,7
18964,3712,9
16091,205,9
25057,5114,10
67942,519,8
54713,8277,6
68128,1686,10
52049,405,8
73308,5772,8
45526,530,6
58880,1033,7
7816,3090,8
42479,31859,6
52082,935,9
34653,1840,9
4377,9041,9
40966,11701,7
37501,3712,6
6302,2476,8
26619,4835,7
37332,7311,9
71529,10460,10
57500,328,6
60310,896,10
18031,18277,7
54910,5902,1
5445,13125,9
29338,460,9
12930,9253,10
17088,15225,7
26619,10020,7
55430,1889,10
16193,578,8
42306,28405,8
19221,1571,7
24239,12403,9
446,18295,10
34467,195,6
31863,2963,8
18257,11111,7
15807,6773,9
48993,12189,7
31452,2993,5
25583,4898,8
68349,6347,8
70829,21659,10
13756,2904,9
69565,16782,10
41334,3782,10
4194,23673,8
19714,811,8
28954,13535,9
32155,895,8
48735,13601,9
13387,24133,7
50087,4752,8
54652,1519,10
57951,7711,8
12535,2890,8
68388,5204,9
71168,987,5
28458,6,7
2107,1840,9
40607,28249,10
24684,2787,9
52088,20,8
53116,11021,8
14068,23273,9
72689,15583,8
47372,16870,8
9560,3784,7
53423,366,7
41449,1292,6
47267,23281,7
30737,880,6
49531,9925,6
48127,285,9
13557,30831,8
30599,17513,3
43471,31561,8
6058,2966,8
58171,12365,8
35719,6,10
72427,1535,7
56855,15841,6
68388,355,8
6969,4280,10
29092,8407,9
38851,3457,10
35371,8630,9
61150,551,7
24239,31560,8
63044,1723,10
50880,437,8
63737,10298,6
54301,807,9
65389,4224,8
12140,11633,8
45526,678,5
62889,20785,8
28856,150,9
28458,437,8
5668,11813,7
21786,239,10
24071,6880,9
25961,17895,8
70742,8630,8
55590,1535,6
46595,9347,6
38316,12187,10
47921,5081,9
41334,198,9
2024,16762,6
65957,567,9
72557,8676,6
46497,5530,8
57875,48,8
11598,245,10
7445,902,8
4690,9989,8
54652,538,8
63745,32093,9
34397,2404,5
40438,9756,10
18610,3457,9
39137,10087,8
43640,1575,9
30114,22199,7
21100,11757,6
19714,1240,10
44541,8479,8
19812,2025,9
68125,10495,7
35921,5152,9
14924,20021,9
55121,5150,6
61816,1734,5
13525,5277,9
40273,465,3
16516,12729,6
55113,5507,9
56738,16099,6
32608,8086,8
22613,933,7
65836,6401,10
10557,1047,9
50923,523,10
26111,877,10
5261,1292,8
34546,12293,8
30450,3956,9
30680,22297,10
6822,1686,8
3092,20365,7
2649,4792,8
72875,20583,7
6276,121,10
52514,934,2
48096,22789,9
66936,14407,9
17887,15699,9
69645,6702,8
71107,18507,9
16629,6347,9
72689,5667,8
19963,28891,9
67709,249,10
68388,12729,8
20053,1195,3
27397,15085,1
60379,43,8
6356,12445,7
65389,5667,9
23650,8426,9
18715,3457,3
49420,7724,10
16551,1579,10
59329,2926,6
62352,19775,8
10582,2034,10
55852,9253,9
5445,5310,10
9472,25781,8
40834,2593,7
14088,19023,9
3561,18671,8
41162,3299,8
51495,3071,7
66708,2112,8
68349,31163,9
43875,8100,8
40273,879,9
49785,889,7
61150,6215,6
40883,8917,6
17088,23283,8
18349,270,9
10615,5671,7
58771,6381,8
36010,8074,7
9780,16498,10
66652,1606,8
23020,669,5
51692,1210,9
60240,356,10
53888,20,7
47372,11111,8
61070,3011,2
30680,9919,9
17692,20507,9
47562,4382,8
60310,7858,10
30737,918,10
41637,384,8
9472,28621,8
58606,210,7
24208,6288,7
58171,404,9
31928,14513,7
68071,73,9
34802,23277,8
73378,8465,7
7099,45,9
53116,10588,9
7816,16498,10
1798,5958,8
51921,1536,10
14388,28405,7
19812,14075,8
39137,18897,7
56590,936,6
1848,13807,7
26062,1117,7
3857,5204,7
66708,8407,6
7345,5983,7
13320,227,7
63737,7748,2
46017,1575,8
32548,20431,8
6710,3784,9
23687,1078,10
47842,1117,10
3566,13759,10
10831,73,9
51025,185,7
37985,23283,10
23033,1889,5
46192,395,8
49786,9656,9
34851,11889,6
28298,3014,8
6356,43,7
18745,226,9
25798,859,6
27983,4214,6
37550,106,8
52969,976,7
7080,24833,7
42943,19221,8
68684,2001,10
15890,11665,8
17088,13659,7
45010,29786,1
6213,596,4
34796,7583,7
412,3342,5
18592,527,8
40294,1827,9
49786,1913,6
12825,263,7
57956,1519,7
56898,10719,7
40482,457,9
15883,30,10
18257,23283,8
31777,16700,10
36523,20541,7
63502,27991,8
22255,3958,6
55121,1689,6
19106,12321,8
49761,813,9
29686,28,7
6381,1519,7
7632,368,8
39254,14075,10
28426,4066,4
16657,513,9
31316,11837,9
70742,18115,9
45071,30740,9
2873,1684,10
29036,19221,8
3109,66,9
52903,3322,7
7080,339,8
1053,14513,8
51408,330,9
49786,50,8
60117,22535,8
41542,873,6
55142,5233,10
12601,11703,8
7634,3841,9
17780,73,8
47961,898,7
16410,1254,7
9856,18753,6
42276,16782,8
48497,6046,9
40257,14345,9
42835,7059,6
25583,6421,8
22613,10465,5
18075,21373,6
12601,15583,9
1157,18677,8
1924,3972,7
30300,17831,8
38804,957,6
6969,11837,8
33891,28171,8
24696,4898,8
33249,20787,9
49785,15809,7
15065,12293,7
7345,8934,8
25492,1916,8
30599,9790,8
27731,7724,8
50569,967,7
47627,5681,8
28959,2593,10
47159,27787,7
53116,14131,8
48203,17247,9
19963,28977,9
47995,10851,7
48284,15809,8
27983,193,7
3521,1689,8
26619,4654,9
51495,404,7
2912,25013,10
35859,13403,9
11243,11757,7
27680,880,10
47995,23033,7
22281,19363,9
49598,23273,9
6360,91,6
53969,4155,9
43652,10417,5
72646,21437,8
47995,21513,6
54079,1311,8
17088,20649,7
11747,14397,9
17887,18753,8
24453,11783,8
20064,813,10
30832,1210,10
58898,5034,7
59102,2001,8
57605,13659,9
45727,3001,7
67671,7059,7
22455,19285,7
2912,29803,7
71862,19815,10
52970,572,5
47196,67,8
48203,7724,7
45085,11703,9
6771,2361,6
7219,11843,7
585,387,7
60117,20,5
37595,356,9
64354,464,9
24542,889,8
65608,1578,8
12326,10155,9
59531,578,6
42560,15315,8
492,27821,7
61914,28979,7
5010,1738,8
41782,4551,10
12709,6880,4
5120,4535,10
2087,777,7
30450,11843,9
55012,4896,9
54910,467,9
58123,1250,7
56898,330,9
9856,24695,7
10307,1363,7
48576,63,7
63819,53,6
7345,9181,4
24239,5,8
51589,4107,7
63323,23273,7
492,30654,7
50905,2273,7
20663,3229,8
35685,6201,7
35371,25859,8
6089,19769,7
7219,10521,9
55737,27655,8
36644,5680,10
40273,12893,8
35635,21863,9
32567,19363,8
60881,1817,6
62889,17265,8
54053,5909,9
62261,2001,8
46955,20507,10
34816,849,6
38660,22789,9
12601,10163,9
49495,23199,5
71059,7858,10
35371,4654,10
71862,28223,8
23043,12531,9
62235,5279,6
53684,6746,9
13301,9135,5
72055,27821,7
35635,11743,6
40179,19671,5
28727,2605,8
14187,19285,3
7139,552,7
18270,133,6
54053,6287,9
41447,20583,10
60475,400,10
20761,710,8
7345,9040,5
3426,1437,6
4554,936,7
38660,13331,9
56139,1535,6
51965,10620,9
32347,199,9
41880,5114,10
72601,25157,8
30450,8460,7
18270,19769,5
53653,4246,9
71508,1538,8
22894,16417,7
55737,2966,10
38997,8424,8
26873,8795,10
25061,1894,8
31560,23283,10
37501,26243,5
7407,2490,6
69001,11617,10
35731,27821,9
6356,16694,6
47921,450,5
72456,14467,10
58143,51,10
43652,30137,6
3092,11633,8
11536,8438,7
42368,24991,8
60128,28497,9
73215,27831,8
57660,3712,9
45071,8630,7
43640,12467,8
45722,18523,10
7108,187,8
58964,3655,7
56984,8074,7
10496,50,9
49785,5,8
69983,22297,10
54523,795,10
70794,23847,5
27561,6637,8
1053,2904,10
19963,16417,8
45908,853,7
12033,11665,8
72630,18753,8
3092,28121,7
28164,121,8
61275,4382,8
14782,895,7
10307,4282,10
59721,1575,10
14974,9539,7
31941,29067,7
18426,3853,10
56670,1818,8
35685,16592,9
14068,16011,7
56590,21681,8
65848,4081,10
18768,14227,8
45930,9513,9
18673,13939,10
42368,5958,8
68349,10798,7
11798,6880,9
1848,8074,6
23690,1000,8
12439,27899,8
6089,8937,8
49677,1952,8
41565,23327,8
63392,24439,10
3846,9379,8
6089,10209,7
38851,20787,10
53234,853,9
66090,2034,8
17088,9745,5
22388,4334,9
58019,65,10
47229,8408,4
67844,5114,9
14088,226,9
43652,11979,7
34319,1250,10
13086,22865,10
64636,15451,6
69563,9936,6
13262,6707,8
39580,1604,10
51339,17265,8
28575,4181,10
9479,6045,8
51448,4472,9
38348,14289,7
4053,30307,6
52795,11111,8
20761,1346,8
5543,2167,10
7345,13411,5
39137,11577,4
52501,23283,7
28796,6351,7
31319,1210,8
14041,20021,8
30300,30383,8
69163,3784,8
30737,2431,6
58415,1566,9
14974,22199,8
71508,11617,4
19724,1250,6
37418,6023,7
49260,289,8
44682,7088,7
47282,578,8
34992,31715,8
1565,11433,10
7769,431,10
5010,6675,10
12601,528,9
65146,6922,7
34434,2993,7
30452,6675,10
40607,23293,9
38348,2594,7
49537,45,9
65311,9982,9
71854,4059,6
40438,227,7
57309,1575,9
32827,65,8
33214,6772,9
47995,14543,7
4683,3588,10
56590,11763,7
2738,25157,8
52011,1025,7
38804,16241,6
10112,21105,10
22613,21653,6
25462,4654,8
35631,11179,8
55010,11179,9
39326,9479,7
40966,22123,8
48993,1536,6
24849,895,7
19968,66,7
27754,384,7
25492,14515,9
58143,2569,7
20951,2006,9
63819,4186,8
50541,392,9
13861,2107,8
46129,6151,7
62235,2385,6
20053,30654,10
38997,9834,8
56256,10793,8
501,25303,10
65921,849,9
49420,356,9
10194,20507,8
10194,18753,10
49785,651,6
49785,5940,3
48103,6547,9
25143,2985,8
19380,4835,8
52851,4765,8
63125,11079,6
64664,10717,8
69563,20,8
15909,20853,8
6036,6045,10
13427,565,8
14788,18507,7
60190,877,9
49786,2386,7
2389,16524,8
49769,8841,9
71598,5081,10
12930,482,7
226,16894,8
10307,4106,8
24233,513,9
66185,3091,8
6089,11617,9
45213,23311,7
4690,100,7
51448,759,8
66620,226,9
32449,12669,8
30541,5114,10
52839,9969,10
63052,6880,8
24274,10378,7
271,32667,6
18270,1226,6
47159,16916,7
54602,44,8
45543,23309,7
33000,11319,10
21856,5458,5
8362,4938,9
67224,1157,6
3399,11499,8
58801,23673,7
63720,8841,7
61816,31621,7
28962,16918,7
40607,14967,7
39580,528,9
9560,21995,9
24488,6547,9
22894,20159,6
71529,18397,10
32124,1827,8
7345,3737,4
39976,1723,10
49651,418,7
40109,10638,7
37689,17074,8
26459,20507,8
5479,1261,6
23579,12711,9
6710,2904,8
7789,5333,7
41449,596,6
61842,1363,5
41782,7724,10
17780,16894,9
53716,1691,9
22455,2597,9
24129,16706,10
38672,28927,7
6771,508,9
55121,11339,7
21100,13469,6
48203,11241,9
18600,121,7
51562,470,6
22613,14027,7
10307,31636,7
12610,4181,10
7340,3820,8
24983,32,9
41334,12883,8
462,6512,8
6381,10863,10
48499,22199,8
16426,9253,10
56256,7711,10
21622,15315,7
48993,1698,6
24849,17265,9
23020,1018,4
64573,22319,8
33000,12403,10
1848,18507,8
53812,100,8
28736,4224,9
73378,1535,9
14068,28121,8
39480,513,8
46527,6324,9
40883,23209,8
2107,11757,8
18257,17729,7
30363,7817,8
4649,21353,6
48735,4382,7
31338,9367,7
6974,28497,7
55852,8769,8
6710,10863,10
28458,257,6
12305,28907,8
33426,11061,9
57605,16742,6
2986,13659,10
20951,23327,7
58801,543,7
52550,2236,9
47562,384,6
39646,10378,8
40273,1072,7
44004,28907,8
2873,5060,10
45010,25805,8
41874,16067,7
31941,15437,8
28343,168,7
11536,837,8
47609,14467,5
72875,8740,10
3115,877,9
62889,31580,7
51080,17265,10
56855,17791,10
59430,196,9
38745,9513,9
45210,2787,8
26558,22535,9
57500,9117,6
21100,10379,8
57484,336,5
45071,23421,7
19032,9136,8
61916,11759,8
49651,174,6
33000,16870,8
36784,14227,7
5120,28819,8
1485,16011,7
27353,530,6
71947,20787,8
49786,1918,6
40257,24031,9
40082,101,10
71854,27899,8
67689,890,10
41542,12467,7
66741,13391,5
49260,182,10
18523,23847,9
53908,2386,9
22288,6682,6
36911,32281,9
23170,537,8
20761,24261,8
48365,853,9
29885,6773,7
20761,168,6
31439,8074,10
61816,28387,8
19724,319,6
49051,62,6
56738,19117,6
34114,28313,7
24849,902,7
30599,16894,6
64636,28677,7
7235,4437,8
49537,1469,6
14544,22043,8
1848,4719,5
33000,14813,9
67925,1566,10
39580,482,10
39137,17391,6
45600,11859,3
52969,6594,9
67956,44,9
67671,11771,9
4302,5277,7
73045,31442,9
16193,11499,4
37243,29101,5
52550,7724,8
72568,1482,10
48499,14741,8
10307,5341,8
49786,7593,7
35371,27525,9
73272,3783,7
13693,10711,9
58143,223,9
28953,22535,10
4649,19221,10
30833,8023,8
72775,59,7
11536,10249,6
65836,1913,6
4690,25429,6
13262,8247,9
2912,3503,8
43640,16444,9
10523,1210,8
49149,1965,4
40044,345,6
22280,8074,8
27661,7870,9
68929,27663,10
61621,4752,7
60257,4177,9
11536,1263,8
47995,19285,7
31171,21881,10
6969,16732,9
14214,7647,9
40273,12531,7
7340,15335,8
35719,18295,9
9635,20785,10
39296,1210,9
70687,355,7
60701,162,10
32449,22199,10
60310,987,10
27731,813,9
52932,11757,7
49786,6986,7
29068,944,9
20819,23385,8
24946,50,8
57330,585,8
60240,11783,8
6710,11111,10
64793,9041,7
69623,17729,8
55595,2616,8
64899,5081,10
3943,6702,8
37007,22265,4
16132,168,10
49149,2129,4
55113,7647,9
22613,21797,7
21867,21881,10
32507,23289,8
52969,8250,7
65415,11179,8
